日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Album,Release,Link,Note
Strawberry Trapper,Strawberry Trapper,Strawberry Trapper,Guilty Kiss,Guilty Kiss,Guilty Kiss,,,,,,,,,,,2016-06-08,https://youtu.be/Hkgc54cDwJg,
"Guilty Night, Guilty Kiss!","Guilty Night, Guilty Kiss!","Guilty Night, Guilty Kiss!",Guilty Kiss,Guilty Kiss,Guilty Kiss,,,,,,,,,,,2016-06-08,https://youtu.be/zsly4OzCfuE,
青空Jumping Heart,Aozora Jumping Heart,푸른 하늘 Jumping Heart,Aqours,Aqours,Aqours,,,,,,,,,,,2016-07-20,https://youtu.be/C9lUX6lkudw,
ハミングフレンド,Humming Friend,허밍 프랜드,Aqours,Aqours,Aqours,,,,,,,,,,,2016-07-20,https://youtu.be/hv-V4CLmkzI,
決めたよHand in Hand,Kimetayo Hand in Hand,결정했어 Hand in Hand,高海千歌;桜内梨子;渡辺曜,Chika Takami;Riko Sakurauchi;You Watanabe,타카미 치카;사쿠라우치 리코;와타나베 요우,,,,,,,,,,,2016-08-03,https://youtu.be/0xHdXHSsJTQ,
ダイスキだったらダイジョウブ！,Daisuki Dattara Daijoubu!,정말로 좋아한다면 괜찮을 거야!,高海千歌;桜内梨子;渡辺曜,Chika Takami;Riko Sakurauchi;You Watanabe,타카미 치카;사쿠라우치 리코;와타나베 요우,,,,,,,,,,,2016-08-03,https://youtu.be/JrgM9L3G5jY,
ユメ語るよりユメ歌おう,Yume Kataruyori Yume Utaou,꿈을 말하기보다 꿈을 노래하자,Aqours,Aqours,Aqours,,,,,,,,,,,2016-08-24,https://youtu.be/UogE0nwkLwg,
サンシャインぴっかぴか音頭,Sunshine Pikkapika Ondo,선샤인 반짝반짝 선창,Aqours,Aqours,Aqours,,,,,,,,,,,2016-08-24,https://youtu.be/6MHsaRghITY,
夢で夜空を照らしたい,Yume De Yozora Wo Terashitai,꿈으로 밤하늘을 비추고 싶어,高海千歌;桜内梨子;渡辺曜;津島善子;国木田花丸;黒澤ルビィ,Chika Takami;Riko Sakurauchi;You Watanabe;Yoshiko Tsushima;Hanamaru Kunikida;Ruby Kurosawa,타카미 치카;사쿠라우치 리코;와타나베 요우;츠시마 요시코;쿠니키다 하나마루;쿠로사와 루비,,,,,,,,,,,2016-09-14,https://youtu.be/AiJM0yAfVM4,
未熟DREAMER,Mijuku DREAMER,미숙 DREAMER,Aqours,Aqours,Aqours,,,,,,,,,,,2016-09-14,https://youtu.be/dHasNhuseU8,
Pops heartで踊るんだもん！,Pops heart de Odorundamon!,Pops heart로 춤추는 걸!,Aqours,Aqours,Aqours,,,,,,,,,,,2016-09-27,https://youtu.be/A_fOcLUppZw,TVA1 BD Vol.1
空も心も晴れるから,Sora mo Kokoro mo Hareru kara,하늘도 마음도 맑을 테니까,高海千歌;桜内梨子;渡辺曜,Chika Takami;Riko Sakurauchi;You Watanabe,타카미 치카;사쿠라우치 리코;와타나베 요우,,,,,,,,,,,2016-10-26,https://youtu.be/OprHYSjg5zQ,TVA1 BD Vol.2
想いよひとつになれ,Omoi yo Hitotsu ni Nare,마음이여 하나가 되어라,高海千歌;松浦果南;黒澤ダイヤ;渡辺曜;津島善子;国木田花丸;小原鞠莉;黒澤ルビィ,Chika Takami;Kanan Matsuura;Dia Kurosawa;You Watanabe;Yoshiko Tsushima;Hanamaru Kunikida;Mari Ohara;Ruby Kurosawa,타카미 치카;마츠우라 카난;쿠로사와 다이아;와타나베 요우;츠시마 요시코;쿠니키다 하나마루;오하라 마리;쿠로사와 루비,,,,,,,,,,,2016-11-09,https://youtu.be/Fz0XoQY3sMw,
MIRAI TICKET,MIRAI TICKET,MIRAI TICKET,Aqours,Aqours,Aqours,,,,,,,,,,,2016-11-09,https://youtu.be/CvQEhuJoH9I,
ジングルベルがとまらない,Jingle Bells ga Tomaranai,징글벨이 멈추지 않아,Aqours,Aqours,Aqours,,,,,,,,,,,2016-11-23,https://youtu.be/FEi3wdJYIFQ,
聖なる日の祈り,Seinaru Hi no Inori,성스러운 날의 기도,Aqours,Aqours,Aqours,,,,,,,,,,,2016-11-23,https://youtu.be/fREtIttC3LE,
Waku-Waku-Week!,Waku-Waku-Week!,Waku-Waku-Week!,津島善子;国木田花丸;黒澤ルビィ,Yoshiko Tsushima;Hanamaru Kunikida;Ruby Kurosawa,츠시마 요시코;쿠니키다 하나마루;쿠로사와 루비,,,,,,,,,,,2016-11-25,https://youtu.be/U6621F-zrUw,TVA1 BD Vol.3
Daydream Warrior,Daydream Warrior,Daydream Warrior,Aqours,Aqours,Aqours,,,,,,,,,,,2016-12-22,https://youtu.be/9NOE0rXp8_Q,TVA1 BD Vol.4
G線上のシンデレラ,G Senjou no Cinderella,G선상의 신데렐라,松浦果南;黒澤ダイヤ;小原鞠莉,Kanan Matsuura;Dia Kurosawa;Mari Ohara,마츠우라 카난;쿠로사와 다이아;오하라 마리,,,,,,,,,,,2017-01-27,https://youtu.be/giSzu1GcsCg,TVA1 BD Vol.5
