Album,Track,日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Release,Link,Category,Note,発音
トリコリコPLEASE!!,1,トリコリコPLEASE!!,Torikoriko PLEASE!!,토리코리코 PLEASE!!,AZALEA,AZALEA,AZALEA,畑 亜貴,Aki Hata,하타 아키,宮崎 誠,Makoto Miyazaki,미야자키 마코토,宮崎 誠,Makoto Miyazaki,미야자키 마코토,2016-05-25,https://youtu.be/tCdJ6fCkSCw,Aqours,AZALEA 1st Single,トリコリコプリーズ
トリコリコPLEASE!!,2,ときめき分類学,Tokimeki Bunruigaku,두근거림 분류학,AZALEA,AZALEA,AZALEA,畑 亜貴,Aki Hata,하타 아키,金崎真士,Masashi Kanasaki,카나사키 마사시,金崎真士,Masashi Kanasaki,카나사키 마사시,2016-05-25,https://youtu.be/JFfFJgdhLjg,Aqours,AZALEA 1st Single,ときめき ぶんるいがく
トリコリコPLEASE!!,3,トリコリコPLEASE!! (Off Vocal),Torikoriko PLEASE!! (Off Vocal),토리코리코 PLEASE!! (Off Vocal),AZALEA,AZALEA,AZALEA,畑 亜貴,Aki Hata,하타 아키,宮崎 誠,Makoto Miyazaki,미야자키 마코토,宮崎 誠,Makoto Miyazaki,미야자키 마코토,2016-05-25,NA,Aqours,AZALEA 1st Single,トリコリコプリーズ (オフボーカル)
トリコリコPLEASE!!,4,ときめき分類学 (Off Vocal),Tokimeki Bunruigaku (Off Vocal),두근거림 분류학 (Off Vocal),AZALEA,AZALEA,AZALEA,畑 亜貴,Aki Hata,하타 아키,金崎真士,Masashi Kanasaki,카나사키 마사시,金崎真士,Masashi Kanasaki,카나사키 마사시,2016-05-25,NA,Aqours,AZALEA 1st Single,ときめき ぶんるいがく (オフボーカル)
トリコリコPLEASE!!,5,淡島ホテルへようこそ❤,Awashima Hoteru e Youkoso❤,아와시마 호텔에 어서 오세요 ❤,AZALEA,AZALEA,AZALEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-25,NA,Aqours,"Drama Part, AZALEA 1st Single",あわしまホテルへようこそ
Strawberry Trapper,1,Strawberry Trapper,Strawberry Trapper,Strawberry Trapper,Guilty Kiss,Guilty Kiss,Guilty Kiss,畑 亜貴,Aki Hata,하타 아키,金崎真士,Masashi Kanasaki,카나사키 마사시,金崎真士,Masashi Kanasaki,카나사키 마사시,2016-06-08,https://youtu.be/Hkgc54cDwJg,Aqours,Guilty Kiss 1st Single,ストロベリートラッパー
Strawberry Trapper,2,"Guilty Night, Guilty Kiss!","Guilty Night, Guilty Kiss!","Guilty Night, Guilty Kiss!",Guilty Kiss,Guilty Kiss,Guilty Kiss,畑 亜貴,Aki Hata,하타 아키,R・O・N,R・O・N,R・O・N,R・O・N,R・O・N,R・O・N,2016-06-08,https://youtu.be/zsly4OzCfuE,Aqours,Guilty Kiss 1st Single,ギルティナイト ギルティキス
Strawberry Trapper,3,Strawberry Trapper (Off Vocal),Strawberry Trapper (Off Vocal),Strawberry Trapper (Off Vocal),Guilty Kiss,Guilty Kiss,Guilty Kiss,畑 亜貴,Aki Hata,하타 아키,金崎真士,Masashi Kanasaki,카나사키 마사시,金崎真士,Masashi Kanasaki,카나사키 마사시,2016-06-08,NA,Aqours,Guilty Kiss 1st Single,ストロベリートラッパー (オフボーカル)
Strawberry Trapper,4,"Guilty Night, Guilty Kiss! (Off Vocal)","Guilty Night, Guilty Kiss! (Off Vocal)","Guilty Night, Guilty Kiss! (Off Vocal)",Guilty Kiss,Guilty Kiss,Guilty Kiss,畑 亜貴,Aki Hata,하타 아키,R・O・N,R・O・N,R・O・N,R・O・N,R・O・N,R・O・N,2016-06-08,NA,Aqours,Guilty Kiss 1st Single,ギルティナイト ギルティキス (オフボーカル)
Strawberry Trapper,5,遊覧船でどこまでも❤,Yuuran-sen de doko made mo❤,유람선에서 어디까지나❤,Guilty Kiss,Guilty Kiss,Guilty Kiss,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-08,NA,Aqours,"Drama Part, Guilty Kiss 1st Single",ゆうらんせんでどこまでも
青空Jumping Heart,1,青空Jumping Heart,Aozora Jumping Heart,푸른 하늘 Jumping Heart,Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,伊藤 賢;光増ハジメ,Ken Ito;Hajime Mitsumasu,이토 켄;미츠마스 하지메,EFFY,EFFY,EFFY,2016-07-20,https://youtu.be/C9lUX6lkudw,Aqours,,あおぞら ジャンピングハート
青空Jumping Heart,2,ハミングフレンド,Humming Friend,허밍 프랜드,Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,桑原 聖(Arte Refact),Satoru Kuwabara(Arte Refact),쿠와바라 사토루(Arte Refact),酒井拓也(Arte Refact),Takuya Sakai(Arte Refact),사카이 타쿠야(Arte Refact),2016-07-20,https://youtu.be/hv-V4CLmkzI,Aqours,,ハミングフレンド
青空Jumping Heart,3,青空Jumping Heart (Off Vocal),Aozora Jumping Heart (Off Vocal),푸른 하늘 Jumping Heart (Off Vocal),Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,伊藤 賢;光増ハジメ,Ken Ito;Hajime Mitsumasu,이토 켄;미츠마스 하지메,EFFY,EFFY,EFFY,2016-07-20,NA,Aqours,,あおぞら ジャンピングハート (オフボーカル)
青空Jumping Heart,4,ハミングフレンド (Off Vocal),Humming Friend (Off Vocal),허밍 프랜드 (Off Vocal),Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,桑原 聖(Arte Refact),Satoru Kuwabara(Arte Refact),쿠와바라 사토루(Arte Refact),酒井拓也(Arte Refact),Takuya Sakai(Arte Refact),사카이 타쿠야(Arte Refact),2016-07-20,NA,Aqours,,ハミングフレンド (オフボーカル)
決めたよHand in Hand／ダイスキだったらダイジョウブ！,1,決めたよHand in Hand,Kimetayo Hand in Hand,결정했어 Hand in Hand,高海千歌;桜内梨子;渡辺曜,Chika Takami;Riko Sakurauchi;You Watanabe,타카미 치카;사쿠라우치 리코;와타나베 요우,畑 亜貴,Aki Hata,하타 아키,渡辺拓也,Takuya Watanabe,와타나베 타쿠야,渡辺拓也,Takuya Watanabe,와타나베 타쿠야,2016-08-03,https://youtu.be/0xHdXHSsJTQ,Aqours,,きめたよハンド イン ハンド
決めたよHand in Hand／ダイスキだったらダイジョウブ！,2,ダイスキだったらダイジョウブ！,Daisuki Dattara Daijoubu!,정말로 좋아한다면 괜찮을 거야!,高海千歌;桜内梨子;渡辺曜,Chika Takami;Riko Sakurauchi;You Watanabe,타카미 치카;사쿠라우치 리코;와타나베 요우,畑 亜貴,Aki Hata,하타 아키,高田 暁,Kyo Takada,타카다 쿄,高田 暁,Kyo Takada,타카다 쿄,2016-08-03,https://youtu.be/JrgM9L3G5jY,Aqours,,ダイスキだったらダイジョウブ
