日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Album,Release,Link,Note
勇気のカケラ,Yuuki no Kakera,용기의 조각,嵐千砂都,Chisato Arashi,아라시 치사토,宮嶋淳子,Junko Miyajima,미야지마 준코,ArmySlick;Lauren Kaori,ArmySlick;Lauren Kaori,ArmySlick;로렌 카오리,ArmySlick,ArmySlick,ArmySlick,TVA1 BD Vol.3,2021-11-26,NA,TVA1 BD Vol.3
ヒロインズ☆ランウェイ,Heroine's Runway,히로인즈☆런웨이,平安名すみれ,Sumire Heanna,헤안나 스미레,宮嶋淳子,Junko Miyajima,미야지마 준코,丸山真由子,Mayuko Maruyama,마루야마 마유코,森 悠也,Yuya Mori,모리 유야,TVA1 BD Vol.4,2021-12-24,NA,TVA1 BD Vol.4
リバーブ,Reverb,리버브,葉月恋,Ren Hazuki,하즈키 렌,宮嶋淳子,Junko Miyajima,미야지마 준코,桑原まこ,Mako Kuwabara,쿠와바라 마코,桑原まこ,Mako Kuwabara,쿠와바라 마코,TVA1 BD Vol.5,2022-01-26,NA,TVA1 BD Vol.5
HOT PASSION!!,HOT PASSION!!,HOT PASSION!!,Sunny Passion,Sunny Passion,Sunny Passion,Lauren Kaori,Lauren Kaori,로렌 카오리,NA.ZU.NA;小久保祐希;Lauren Kaori,NA.ZU.NA;Yuki Kokubo;Lauren Kaori,NA.ZU.NA;코쿠보 유키;로렌 카오리,NA.ZU.NA,NA.ZU.NA,NA.ZU.NA,HOT PASSION!!,2022-02-02,https://youtu.be/lZ9RHOwco_g,
Till Sunrise,Till Sunrise,Till Sunrise,Sunny Passion,Sunny Passion,Sunny Passion,Lauren Kaori,Lauren Kaori,로렌 카오리,NA.ZU.NA;小久保祐希;Lauren Kaori,NA.ZU.NA;Yuki Kokubo;Lauren Kaori,NA.ZU.NA;코쿠보 유키;로렌 카오리,NA.ZU.NA,NA.ZU.NA,NA.ZU.NA,HOT PASSION!!,2022-02-02,https://youtu.be/Cu5srL2Duk4,
トゥ トゥ トゥ！,Tu Tu Tu!,투 투 투!,Liella!,Liella!,Liella!,宮嶋淳子,Junko Miyajima,미야지마 준코,高木誠司,Seiji Takagi,타카기 세이지,高木誠司,Seiji Takagi,타카기 세이지,TVA1 BD Vol.6,2022-02-25,NA,TVA1 BD Vol.6
探して！Future,Sagashite! Future,찾아라! Future,Liella!,Liella!,Liella!,宮嶋淳子,Junko Miyajima,미야지마 준코,中野領太,Ryota Nakano,나카노 료타,中野領太,Ryota Nakano,나카노 료타,TVA1 BD Full (A-on STORE),2022-02-25,NA,TVA1 BD Full (A-on STORE)
HAPPY TO DO WA！,HAPPY TO DO WA!,HAPPY TO DO WA!,唐可可;平安名すみれ;葉月恋,Keke Tang;Sumire Heanna;Ren Hazuki,탕 쿠쿠;헤안나 스미레;하즈키 렌,宮嶋淳子,Junko Miyajima,미야지마 준코,イワツボコーダイ;吹野クワガタ,Kodai Iwatsubo;Kuwagata Fukino,이와츠보 코다이;후키노 쿠와가타,吹野クワガタ,Kuwagata Fukino,후키노 쿠와가타,TVA1 BD Full (animate),2022-02-25,NA,TVA1 BD Full (animate)
Stella!,Stella!,Stella!,澁谷かのん;嵐千砂都;平安名すみれ,Kanon Shibuya;Chisato Arashi;Sumire Heanna,시부야 카논;아라시 치사토;헤안나 스미레,宮嶋淳子,Junko Miyajima,미야지마 준코,久保田真悟(Jazzin'park);栗原 暁(Jazzin'park),Singo Kubota(Jazzin'park);Satoru Kurihara(Jazzin'park),쿠보타 신고(Jazzin'park);쿠리하라 사토루(Jazzin'park),久保田真悟(Jazzin'park);兼松 衆,Singo Kubota (Jazzin'park);Shu Kanematsu,쿠보타 신고(Jazzin'park);카네마츠 슈,TVA1 BD Full (Gamers),2022-02-25,NA,TVA1 BD Full (Gamers)
変わらないすべて,Kawaranai Subete,변하지 않는 모든 것,澁谷かのん;嵐千砂都,Kanon Shibuya;Chisato Arashi,시부야 카논;아라시 치사토,宮嶋淳子,Junko Miyajima,미야지마 준코,川崎里実,Satomi Kawasaki,카와사키 사토미,出羽良彰,Yoshiaki Dewa,데와 요시아키,TVA1 BD Full (Sofmap × Animega),2022-02-25,NA,TVA1 BD Full (Sofmap × Animega)
